model,total_jsons,valid_jsons,invalid_jsons,validity_rate,schema_error_rate
gemma2_2b,240,240,0,1.0,0.0
gemma3_4b,240,240,0,1.0,0.0
llama3-2_1b,240,240,0,1.0,0.0
llama3-2_3b,240,240,0,1.0,0.0
llama3_8b,240,240,0,1.0,0.0
qwen2-5_1-5b,240,240,0,1.0,0.0
qwen2-5_3b,240,240,0,1.0,0.0
qwen2-5_7b,240,240,0,1.0,0.0
gemma3_1b,240,237,3,0.9875,0.0125
qwen2-5_0-5b,240,232,8,0.9667,0.0333
deepseek-r1_7b,240,231,9,0.9625,0.0375
mistral_7b,240,228,12,0.95,0.05
gemma3_270m,240,160,80,0.6667,0.3333
deepseek-r1_1-5b,240,155,22,0.6458,0.3542
