model,precision_micro,recall_micro,f1_micro,coverage,similaridade_media,effective_extraction_rate
gemma3_4b,0.9627,0.9459,0.9542,0.9787,0.9592,0.9542
llama3_8b,0.9776,0.9229,0.9495,0.9421,0.9261,0.9495
qwen2-5_7b,0.9851,0.894,0.9374,0.9056,0.8961,0.9374
qwen2-5_3b,0.9828,0.8788,0.9279,0.8939,0.886,0.9279
gemma2_2b,0.9507,0.8904,0.9196,0.9364,0.9163,0.9196
llama3-2_3b,0.9606,0.8442,0.8987,0.8785,0.8582,0.8987
mistral_7b,0.9054,0.8671,0.8858,0.9554,0.9145,0.8637
qwen2-5_1-5b,0.9028,0.75,0.8193,0.8301,0.7898,0.8193
deepseek-r1_7b,0.8079,0.7534,0.7797,0.9308,0.8075,0.7602
qwen2-5_0-5b,0.6806,0.5654,0.6176,0.8303,0.6739,0.6176
llama3-2_1b,0.4414,0.4066,0.4233,0.9189,0.5742,0.4233
deepseek-r1_1-5b,0.1359,0.1139,0.1239,0.8346,0.4111,0.1116
gemma3_1b,0.1033,0.0792,0.0896,0.7622,0.3516,0.0874
gemma3_270m,0.0145,0.0097,0.0116,0.6651,0.3027,0.0081
