model,field,precision,recall,f1
TinyBERT,document_id.number,1.0,1.0,1.0
TinyBERT,document_id.ig,1.0,1.0,1.0
TinyBERT,contracting_party.name,0.95,0.95,0.95
TinyBERT,contracting_party.cpf_cnpj,0.825,0.825,0.825
TinyBERT,contracted_party.name,0.35,0.35,0.35
TinyBERT,contracted_party.cpf_cnpj,0.2,0.2,0.2
TinyBERT,validity,0.95,0.95,0.95
TinyBERT,global_value,0.9231,0.9,0.9114
TinyBERT,signature.date,0.875,0.9211,0.8974
TinyBERT,signature.signatories.contracting_party,0.375,0.375,0.375
TinyBERT,signature.signatories.contracted_party,0.725,0.725,0.725
TinyBERT,legal_unit.name,0.9744,0.95,0.962
TinyBERT,legal_unit.role,1.0,0.975,0.9873
albert-base-v2,document_id.number,0.5,0.5,0.5
albert-base-v2,document_id.ig,0.825,0.825,0.825
albert-base-v2,contracting_party.name,0.975,0.975,0.975
albert-base-v2,contracting_party.cpf_cnpj,1.0,1.0,1.0
albert-base-v2,contracted_party.name,1.0,1.0,1.0
albert-base-v2,contracted_party.cpf_cnpj,0.975,0.975,0.975
albert-base-v2,validity,0.975,0.975,0.975
albert-base-v2,global_value,1.0,1.0,1.0
albert-base-v2,signature.date,1.0,1.0,1.0
albert-base-v2,signature.signatories.contracting_party,1.0,1.0,1.0
albert-base-v2,signature.signatories.contracted_party,1.0,1.0,1.0
albert-base-v2,legal_unit.name,1.0,1.0,1.0
albert-base-v2,legal_unit.role,0.975,0.975,0.975
bert,document_id.number,1.0,1.0,1.0
bert,document_id.ig,1.0,1.0,1.0
bert,contracting_party.name,0.975,0.975,0.975
bert,contracting_party.cpf_cnpj,1.0,1.0,1.0
bert,contracted_party.name,1.0,1.0,1.0
bert,contracted_party.cpf_cnpj,0.975,0.975,0.975
bert,validity,0.975,0.975,0.975
bert,global_value,1.0,1.0,1.0
bert,signature.date,1.0,1.0,1.0
bert,signature.signatories.contracting_party,1.0,0.975,0.9873
bert,signature.signatories.contracted_party,1.0,0.975,0.9873
bert,legal_unit.name,1.0,1.0,1.0
bert,legal_unit.role,0.975,0.975,0.975
bert-base-portuguese-cased,document_id.number,1.0,0.975,0.9873
bert-base-portuguese-cased,document_id.ig,1.0,0.975,0.9873
bert-base-portuguese-cased,contracting_party.name,1.0,0.975,0.9873
bert-base-portuguese-cased,contracting_party.cpf_cnpj,1.0,0.975,0.9873
bert-base-portuguese-cased,contracted_party.name,1.0,0.975,0.9873
bert-base-portuguese-cased,contracted_party.cpf_cnpj,1.0,0.975,0.9873
bert-base-portuguese-cased,validity,1.0,0.975,0.9873
bert-base-portuguese-cased,global_value,1.0,0.975,0.9873
bert-base-portuguese-cased,signature.date,1.0,0.975,0.9873
bert-base-portuguese-cased,signature.signatories.contracting_party,1.0,0.975,0.9873
bert-base-portuguese-cased,signature.signatories.contracted_party,1.0,0.975,0.9873
bert-base-portuguese-cased,legal_unit.name,1.0,0.975,0.9873
bert-base-portuguese-cased,legal_unit.role,0.9744,0.95,0.962
bert-base-uncased,document_id.number,1.0,1.0,1.0
bert-base-uncased,document_id.ig,1.0,1.0,1.0
bert-base-uncased,contracting_party.name,0.975,0.975,0.975
bert-base-uncased,contracting_party.cpf_cnpj,1.0,1.0,1.0
bert-base-uncased,contracted_party.name,1.0,1.0,1.0
bert-base-uncased,contracted_party.cpf_cnpj,0.975,0.975,0.975
bert-base-uncased,validity,0.975,0.975,0.975
bert-base-uncased,global_value,1.0,1.0,1.0
bert-base-uncased,signature.date,1.0,1.0,1.0
bert-base-uncased,signature.signatories.contracting_party,1.0,0.975,0.9873
bert-base-uncased,signature.signatories.contracted_party,1.0,0.975,0.9873
bert-base-uncased,legal_unit.name,1.0,1.0,1.0
bert-base-uncased,legal_unit.role,0.975,0.975,0.975
bertimbau,document_id.number,1.0,1.0,1.0
bertimbau,document_id.ig,1.0,1.0,1.0
bertimbau,contracting_party.name,0.975,0.975,0.975
bertimbau,contracting_party.cpf_cnpj,1.0,1.0,1.0
bertimbau,contracted_party.name,1.0,1.0,1.0
bertimbau,contracted_party.cpf_cnpj,1.0,1.0,1.0
bertimbau,validity,0.975,0.975,0.975
bertimbau,global_value,1.0,1.0,1.0
bertimbau,signature.date,1.0,1.0,1.0
bertimbau,signature.signatories.contracting_party,1.0,1.0,1.0
bertimbau,signature.signatories.contracted_party,1.0,1.0,1.0
bertimbau,legal_unit.name,1.0,1.0,1.0
bertimbau,legal_unit.role,0.975,0.975,0.975
colbert_v2.0,document_id.number,1.0,1.0,1.0
colbert_v2.0,document_id.ig,1.0,1.0,1.0
colbert_v2.0,contracting_party.name,0.975,0.975,0.975
colbert_v2.0,contracting_party.cpf_cnpj,1.0,1.0,1.0
colbert_v2.0,contracted_party.name,1.0,1.0,1.0
colbert_v2.0,contracted_party.cpf_cnpj,1.0,1.0,1.0
colbert_v2.0,validity,0.975,0.975,0.975
colbert_v2.0,global_value,1.0,1.0,1.0
colbert_v2.0,signature.date,1.0,1.0,1.0
colbert_v2.0,signature.signatories.contracting_party,1.0,0.95,0.9744
colbert_v2.0,signature.signatories.contracted_party,1.0,1.0,1.0
colbert_v2.0,legal_unit.name,1.0,0.975,0.9873
colbert_v2.0,legal_unit.role,0.975,0.975,0.975
distilbert,document_id.number,1.0,1.0,1.0
distilbert,document_id.ig,1.0,1.0,1.0
distilbert,contracting_party.name,0.975,0.975,0.975
distilbert,contracting_party.cpf_cnpj,1.0,1.0,1.0
distilbert,contracted_party.name,1.0,1.0,1.0
distilbert,contracted_party.cpf_cnpj,1.0,1.0,1.0
distilbert,validity,0.975,0.975,0.975
distilbert,global_value,1.0,1.0,1.0
distilbert,signature.date,1.0,1.0,1.0
distilbert,signature.signatories.contracting_party,1.0,1.0,1.0
distilbert,signature.signatories.contracted_party,1.0,1.0,1.0
distilbert,legal_unit.name,0.975,0.975,0.975
distilbert,legal_unit.role,0.975,0.975,0.975
distilbert-base-uncased,document_id.number,1.0,0.975,0.9873
distilbert-base-uncased,document_id.ig,1.0,0.975,0.9873
distilbert-base-uncased,contracting_party.name,1.0,0.975,0.9873
distilbert-base-uncased,contracting_party.cpf_cnpj,1.0,0.975,0.9873
distilbert-base-uncased,contracted_party.name,1.0,0.975,0.9873
distilbert-base-uncased,contracted_party.cpf_cnpj,1.0,0.975,0.9873
distilbert-base-uncased,validity,1.0,0.975,0.9873
distilbert-base-uncased,global_value,1.0,0.975,0.9873
distilbert-base-uncased,signature.date,0.9487,0.9737,0.961
distilbert-base-uncased,signature.signatories.contracting_party,1.0,0.975,0.9873
distilbert-base-uncased,signature.signatories.contracted_party,1.0,0.975,0.9873
distilbert-base-uncased,legal_unit.name,0.9744,0.95,0.962
distilbert-base-uncased,legal_unit.role,0.9744,0.95,0.962
electra-base-discriminator,document_id.number,1.0,1.0,1.0
electra-base-discriminator,document_id.ig,1.0,1.0,1.0
electra-base-discriminator,contracting_party.name,0.975,0.975,0.975
electra-base-discriminator,contracting_party.cpf_cnpj,1.0,1.0,1.0
electra-base-discriminator,contracted_party.name,1.0,1.0,1.0
electra-base-discriminator,contracted_party.cpf_cnpj,1.0,1.0,1.0
electra-base-discriminator,validity,0.975,0.975,0.975
electra-base-discriminator,global_value,1.0,1.0,1.0
electra-base-discriminator,signature.date,1.0,1.0,1.0
electra-base-discriminator,signature.signatories.contracting_party,1.0,1.0,1.0
electra-base-discriminator,signature.signatories.contracted_party,1.0,1.0,1.0
electra-base-discriminator,legal_unit.name,1.0,0.975,0.9873
electra-base-discriminator,legal_unit.role,0.975,0.975,0.975
pierreguillou_bert-base-cased-squad-v1.1-portuguese,document_id.number,0.0,0.0,0.0
pierreguillou_bert-base-cased-squad-v1.1-portuguese,document_id.ig,0.7895,0.375,0.5085
pierreguillou_bert-base-cased-squad-v1.1-portuguese,contracting_party.name,0.475,0.475,0.475
pierreguillou_bert-base-cased-squad-v1.1-portuguese,contracting_party.cpf_cnpj,0.5,0.5,0.5
pierreguillou_bert-base-cased-squad-v1.1-portuguese,contracted_party.name,0.325,0.325,0.325
pierreguillou_bert-base-cased-squad-v1.1-portuguese,contracted_party.cpf_cnpj,0.4865,0.45,0.4675
pierreguillou_bert-base-cased-squad-v1.1-portuguese,validity,0.5405,0.5,0.5195
pierreguillou_bert-base-cased-squad-v1.1-portuguese,global_value,0.7179,0.7,0.7089
pierreguillou_bert-base-cased-squad-v1.1-portuguese,signature.date,0.9459,0.8974,0.9211
pierreguillou_bert-base-cased-squad-v1.1-portuguese,signature.signatories.contracting_party,0.3077,0.3,0.3038
pierreguillou_bert-base-cased-squad-v1.1-portuguese,signature.signatories.contracted_party,0.8974,0.875,0.8861
pierreguillou_bert-base-cased-squad-v1.1-portuguese,legal_unit.name,0.1667,0.025,0.0435
pierreguillou_bert-base-cased-squad-v1.1-portuguese,legal_unit.role,0.25,0.025,0.0455
roberta_base,document_id.number,1.0,1.0,1.0
roberta_base,document_id.ig,1.0,1.0,1.0
roberta_base,contracting_party.name,0.975,0.975,0.975
roberta_base,contracting_party.cpf_cnpj,1.0,1.0,1.0
roberta_base,contracted_party.name,1.0,1.0,1.0
roberta_base,contracted_party.cpf_cnpj,1.0,1.0,1.0
roberta_base,validity,0.975,0.975,0.975
roberta_base,global_value,1.0,1.0,1.0
roberta_base,signature.date,1.0,1.0,1.0
roberta_base,signature.signatories.contracting_party,1.0,1.0,1.0
roberta_base,signature.signatories.contracted_party,0.9744,0.95,0.962
roberta_base,legal_unit.name,1.0,0.975,0.9873
roberta_base,legal_unit.role,0.975,0.975,0.975
xlm-roberta-base,document_id.number,0.5,0.5,0.5
xlm-roberta-base,document_id.ig,0.825,0.825,0.825
xlm-roberta-base,contracting_party.name,0.95,0.95,0.95
xlm-roberta-base,contracting_party.cpf_cnpj,1.0,1.0,1.0
xlm-roberta-base,contracted_party.name,1.0,1.0,1.0
xlm-roberta-base,contracted_party.cpf_cnpj,0.95,0.95,0.95
xlm-roberta-base,validity,0.975,0.975,0.975
xlm-roberta-base,global_value,1.0,1.0,1.0
xlm-roberta-base,signature.date,1.0,1.0,1.0
xlm-roberta-base,signature.signatories.contracting_party,1.0,1.0,1.0
xlm-roberta-base,signature.signatories.contracted_party,1.0,0.975,0.9873
xlm-roberta-base,legal_unit.name,1.0,1.0,1.0
xlm-roberta-base,legal_unit.role,0.975,0.975,0.975
