modelo,tempo_total_s,delta_memoria_mb,cpu_user_time_s,cpu_system_time_s
deepseek-r1:1.5b,2554.12,-8.28,7.94,4.37
deepseek-r1:7b,5514.19,-14.76,3.48,1.63
gemma2:2b,437.81,1.03,1.26,0.57
gemma3:1b,347.1,1.03,0.83,0.66
gemma3:270m,2012.93,-2.15,2.13,2.3
gemma3:4b,1060.26,-13.81,1.34,0.64
gemma4:e4b,10166.9,-47.86,7.36,3.02
llama3.2:1b,293.1,0.29,0.69,0.41
llama3.2:3b,550.98,0.24,1.0,0.65
llama3:8b,1816.15,-12.0,1.36,0.62
mistral:7b,2409.99,-22.77,1.65,0.69
qwen2.5:0.5b,208.4,0.5,0.69,0.4
qwen2.5:1.5b,294.0,0.52,0.86,0.4
qwen2.5:3b,428.35,0.38,1.03,0.59
qwen2.5:7b,1509.24,-4.54,1.03,0.56
